"id","city_name","lemmatized_city"
10176,"Ненецкий автономный округ ","ненецкий автономный округ"
10231,"Республика Алтай  ","республика алтай"
10233,"Республика Тыва  ","республика тыва"
10243,"Еврейская автономная область ","еврейская автономная область"
10251,"Чукотский автономный округ ","чукотский автономный округ"
10303,"Талдыкорган   ","талдыкорган"
10306,"Усть-Каменогорск   ","усть-каменогорск"
10347,"Кривой Рог  ","кривой рог"
10366,"Мариуполь   ","мариуполь"
10369,"Белая Церковь  ","белая церковь"
10645,"Белгородская область  ","белгородская область"
10646,"Губкин   ","губкин"
10649,"Старый Оскол  ","старый оскол"
10650,"Брянская область  ","брянская область"
10653,"Клинцы   ","клинцы"
10656,"Александров   ","александров"
10658,"Владимирская область  ","владимирская область"
10661,"Гусь-Хрустальный   ","гусь-хрустальный"
10663,"Киржач   ","киржач"
10664,"Ковров   ","ковров"
10668,"Муром   ","муром"
10672,"Воронежская область  ","воронежская область"
10681,"Россошь   ","россошь"
10687,"Ивановская область  ","ивановская область"
10689,"Кинешма   ","кинешма"
10691,"Шуя   ","шуя"
10693,"Калужская область  ","калужская область"
10697,"Малоярославец   ","малоярославец"
10699,"Костромская область  ","костромская область"
10705,"Курская область  ","курская область"
10710,"Железногорск   ","железногорск"
10712,"Липецкая область  ","липецкая область"
10713,"Елец   ","елец"
10715,"Апрелевка   ","апрелевка"
10716,"Балашиха   ","балашиха"
10717,"Бронницы   ","бронницы"
10719,"Видное   ","видное"
10721,"Волоколамск   ","волоколамск"
10722,"Воскресенск   ","воскресенск"
10723,"Дмитров   ","дмитров"
10725,"Домодедово   ","домодедово"
10727,"Егорьевск   ","егорьевск"
10728,"Зарайск   ","зарайск"
10729,"Звенигород   ","звенигород"
10731,"Истра   ","истра"
10732,"Кашира   ","кашира"
10733,"Клин   ","клин"
10734,"Коломна   ","коломна"
10735,"Красногорск   ","красногорск"
10737,"Луховицы   ","луховицы"
10738,"Люберцы   ","люберцы"
10739,"Можайск   ","можайск"
10740,"Мытищи   ","мытищи"
10741,"Наро-Фоминск   ","наро-фоминск"
10742,"Ногинск   ","ногинск"
10743,"Одинцово   ","одинцово"
10745,"Орехово-Зуево   ","орехово-зуево"
10746,"Павловский Посад  ","павловский посад"
10747,"Подольск   ","подольск"
10748,"Пушкино   ","пушкино"
10750,"Раменское   ","раменское"
10751,"Руза   ","руза"
10752,"Сергиев Посад  ","сергиев посад"
10754,"Серпухов   ","серпухов"
10755,"Солнечногорск   ","солнечногорск"
10756,"Ступино   ","ступино"
10758,"Химки   ","химки"
10761,"Чехов   ","чехов"
10762,"Шатура   ","шатура"
10765,"Щелково   ","щелково"
10772,"Орловская область  ","орловская область"
10773,"Касимов   ","касимов"
