"id","city_name","lemmatized_city"
103669,"Провинция Адана  ","провинция адана"
103670,"Провинция Адыяман  ","провинция адыяман"
103671,"Провинция Айдын  ","провинция айдын"
103672,"Провинция Аксарай  ","провинция аксарай"
103673,"Провинция Амасья  ","провинция амасья"
103674,"Провинция Анкара  ","провинция анкара"
103675,"Провинция Анталья  ","провинция анталья"
103676,"Провинция Ардахан  ","провинция ардахан"
103677,"Провинция Артвин  ","провинция артвин"
103678,"Провинция Афьонкарахисар  ","провинция афьонкарахисар"
103679,"Провинция Байбурт  ","провинция байбурт"
103680,"Провинция Балыкесир  ","провинция балыкесир"
103681,"Провинция Бартын  ","провинция бартын"
103682,"Провинция Батман  ","провинция батман"
103683,"Провинция Биледжик  ","провинция биледжик"
103684,"Провинция Бингёль  ","провинция бингёль"
103685,"Провинция Битлис  ","провинция битлис"
103686,"Провинция Болу  ","провинция болу"
103687,"Провинция Бурдур  ","провинция бурдур"
103688,"Провинция Бурса  ","провинция бурса"
103689,"Провинция Ван  ","провинция ван"
103690,"Провинция Газиантеп  ","провинция газиантеп"
103691,"Провинция Гиресун  ","провинция гиресун"
103692,"Провинция Гюмюшхане  ","провинция гюмюшхане"
103693,"Провинция Денизли  ","провинция денизли"
103694,"Провинция Диярбакыр  ","провинция диярбакыр"
103695,"Провинция Дюздже  ","провинция дюздже"
103696,"Провинция Зонгулдак  ","провинция зонгулдак"
103697,"Провинция Измир  ","провинция измир"
103698,"Провинция Йозгат  ","провинция йозгат"
103699,"Провинция Кайсери  ","провинция кайсери"
103700,"Провинция Карабюк  ","провинция карабюк"
103701,"Провинция Караман  ","провинция караман"
103702,"Провинция Карс  ","провинция карс"
103703,"Провинция Кастамону  ","провинция кастамону"
103704,"Провинция Кахраманмараш  ","провинция кахраманмараш"
103705,"Провинция Килис  ","провинция килис"
103706,"Провинция Коджаэли  ","провинция коджаэли"
103707,"Провинция Конья  ","провинция конья"
103708,"Провинция Кыркларели  ","провинция кыркларели"
103709,"Провинция Кыршехир  ","провинция кыршехир"
103710,"Провинция Кырыккале  ","провинция кырыккале"
103711,"Провинция Кютахья  ","провинция кютахья"
103712,"Провинция Малатья  ","провинция малатья"
103713,"Провинция Маниса  ","провинция маниса"
103714,"Провинция Мардин  ","провинция мардин"
103715,"Провинция Мерсин  ","провинция мерсин"
103716,"Провинция Мугла  ","провинция мугла"
103717,"Провинция Муш  ","провинция муш"
103718,"Провинция Невшехир  ","провинция невшехир"
103719,"Провинция Нигде  ","провинция нигде"
103720,"Провинция Орду  ","провинция орду"
103721,"Провинция Османие  ","провинция османие"
103722,"Провинция Ризе  ","провинция ризе"
103723,"Провинция Сакарья  ","провинция сакарья"
103724,"Провинция Самсун  ","провинция самсун"
103725,"Провинция Сивас  ","провинция сивас"
103726,"Провинция Сиирт  ","провинция сиирт"
103727,"Провинция Синоп  ","провинция синоп"
103728,"Провинция Стамбул  ","провинция стамбул"
103729,"Провинция Текирдаг  ","провинция текирдаг"
103730,"Провинция Токат  ","провинция токат"
103731,"Провинция Трабзон  ","провинция трабзон"
103732,"Провинция Тунджели  ","провинция тунджели"
103733,"Провинция Ушак  ","провинция ушак"
103734,"Провинция Хаккяри  ","провинция хаккяри"
103735,"Провинция Хатай  ","провинция хатай"
103736,"Провинция Чанаккале  ","провинция чанаккале"
103737,"Провинция Чанкыры  ","провинция чанкыры"
103738,"Провинция Чорум  ","провинция чорум"
103739,"Провинция Шанлыурфа  ","провинция шанлыурфа"
103740,"Провинция Ширнак  ","провинция ширнак"
103741,"Провинция Ыгдыр  ","провинция ыгдыр"
103742,"Провинция Ыспарта  ","провинция ыспарта"
103743,"Провинция Эдирне  ","провинция эдирне"
103744,"Провинция Элязыг  ","провинция элязыг"
103745,"Провинция Эрзинджан  ","провинция эрзинджан"
103746,"Провинция Эрзурум  ","провинция эрзурум"
103747,"Провинция Эскишехир  ","провинция эскишехир"
103748,"Провинция Ялова  ","провинция ялова"
110916,"Чайковский район  ","чайковский район"
110934,"Сортавальский район  ","сортавальский район"
