Агент,Тип,Скилл,Частота,Статус
Съём позиций,cron,positions,ежедневно,Активен
Сбор семантики,команда,semantics,по запросу,Активен
Анализ коммерции,cron,commerce_audit,еженедельно,Активен
Проверка индексации,cron,index-check,ежедневно,Активен
Краулинг сайта,команда,crawler-selenium,по запросу,Активен
Анализ слабых страниц,реактивный,weak_pages,при изменении позиций,Активен
Линкбилдинг мониторинг,cron,linkbuilding,еженедельно,В разработке
